,period_0_avg
Jan,293.3833751032003
Feb,293.9624293690813
Mar,294.64735817392193
Apr,295.3786721396128
May,296.16433406859966
Jun,296.83738386496583
Jul,297.2037435081852
Aug,296.9495100724999
Sep,296.07799093902446
Oct,294.9135822401046
Nov,293.804355807858
Dec,293.1821582502106
