,period_0_avg
Jan,3.5190781928505244
Feb,3.5109319175383153
Mar,3.482203534369249
Apr,3.4838026568637677
May,3.525893313918733
Jun,3.6207156164518626
Jul,3.648974634866013
Aug,3.5952413312860756
Sep,3.4967817086051394
Oct,3.485703928739655
Nov,3.4542283181165563
Dec,3.502315334823062
