,period_0_avg
Jan,2.634175740830813
Feb,2.3369576979221325
Mar,2.4188516795869335
Apr,2.319256398020706
May,2.3523891346829795
Jun,1.8256653190567547
Jul,1.5662417586398154
Aug,1.6083027498082159
Sep,1.9464529086235005
Oct,2.1252913260227944
Nov,2.4221889727843826
Dec,2.6318744018900335
