,period_0_avg
Jan,300.1646530439836
Feb,301.3738485594844
Mar,303.0248116980405
Apr,304.2101900412099
May,304.2917161441297
Jun,303.94797424458477
Jul,304.0037092979726
Aug,303.8889389029153
Sep,303.7293145517954
Oct,303.3460633229709
Nov,302.14993190722004
Dec,300.48617479126864
