,period_0_avg
Jan,300.61440863978873
Feb,301.51927148014096
Mar,302.6063242398635
Apr,303.26290654979016
May,303.1807176467465
Jun,302.9366478364689
Jul,302.94177031485964
Aug,302.80400429313096
Sep,302.6378405825207
Oct,302.4389563744172
Nov,301.7313883388531
Dec,300.7072870038036
