,period_0_avg
Jan,3.5190781928505914
Feb,3.510931917538382
Mar,3.482203534369317
Apr,3.4838026568638365
May,3.525893313918807
Jun,3.6207156164519336
Jul,3.6489746348660828
Aug,3.595241331286147
Sep,3.4967817086052095
Oct,3.485703928739723
Nov,3.454228318116625
Dec,3.502315334823131
